,Title,Company,Location,Salary,Summary
0,Data Scientist,Big Cloud,"New York, NY","$150,000 a year","
Are you an experienced, talented and creative Data Scientist who likes solving complex problems? An exciting, innovative company in the heart of New York are..."
1,Research Analyst Intern,Poliwogg,"New York, NY 10170 (Murray Hill area)",$20 an hour,"
We are hiring interns (this could turn into a full-time position) to assist in the data collection and management as well as the structuring of algorithms to..."
2,Data Scientist,Princeton Consulting,"New York, NY 10018 (Clinton area)","$100,000 - $200,000 a year","
Ability to visualize and communicate data science concepts to other team members and the business. With that being said an ideal candidate should have..."
3,"Data Scientist, Predictive Modeling",Workbridge Associates,"New York, NY","$100,000 - $130,000 a year","
They are looking for a skilled data scientist to join our cutting edge engineering team! The Data Scientist will be working on our large data sets and will help..."
4,Data Scientist,Smith Hanley Associates,"New York, NY","$75,000 - $90,000 a year","
Missing data imputation. Conduct basic research that draws on existing company data to study different aspects of consumer reporting performance and POS data..."
5,Data Scientist,Workbridge Associates,"New York, NY","$90,000 - $140,000 a year","
Any other experience within data scalability, data validation, data modeling, and data mining HUGE, HUGE plus!!..."
6,Data Scientist,TalentHub Worldwide,"New York, NY 10017 (Midtown area)","$105,000 a year","
The Data Scientist assists in creating and maintaining data infrastructure for gathering multiple sources of data into a single data hub for the generation of..."
7,climate scientist,Research Foundation of The City University of New...,"New York, NY","$61,000 - $62,000 a year","
Experience with data analysis and statistical software, such as R, IDL, Matlab, etc. Experience in analysis of climate data and GCM/RCM output for developing..."
8,"Research Scientist IV, Grade 27, Job 741871","Research Foundation for Mental Hygiene, Inc.","New York, NY 10032 (Washington Heights area)","$40,536 - $70,000 a year","
Analysis of functional and structural MRI data may also be required. Experience or training in functional and structural MRI data analysis an advantage...."
9,Data Scientist,TW Staffing Solutions,"New York, NY","$199,000 a year","
Data Scientist - New York (total compensation $199,000). Obtain a solid fundamental knowledge into Big Data research, gaining high level exposure to multiple..."
10,"Director, Data Scientist, Marketing Science",Hearts & Science,"New York, NY","$150,000 a year","
Define measurement and analytics approaches and findings for emerging channels and data streams – programmatic TV, set top box data, etc...."
11,Senior Analyst (Biostatistician or Epidemiologist),New York City Department of Health and Mental Hygi...,"Long Island City, NY 11101","$76,340 - $100,322 a year","
-Experience with inferential statistical analyses, publishing peer-reviewed articles, study design, data manipulation, surveillance/health data, and grant..."
12,Senior Data Scientist for Multi-Billion Dollar Hedge Fund,Averity,"New York, NY","$150,000 a year","
Are you Senior Data Scientist looking to join a Multi-Billion Dollar Hedge Fund? Experience with Big Data Concepts (Hadoop, Spark)...."
13,Senior Data Analyst,Helix Sleep,"New York, NY","$80,000 - $120,000 a year","
2-5+ years of experience in a data scientist or data analyst with relatively little oversight and engineering support...."
14,Data Scientist,VisionPRO,"New York, NY","$50,000 a year","
Knowledge of current trends in Big Data frameworks and Data pipeline architecture is preferred. Hands-on knowledge in Data Science and Statistical concepts,..."
15,Lead Data Scientist for Global Digital Media Company,Averity,"New York, NY","$150,000 - $250,000 a year","
Are you a Senior Data Scientist looking to lead and grow our company's newly formed Data Science team? As a Senior / Lead Data Scientist, you will be leading..."
16,Quantitative Research Analyst for Multi-Billion Dollar Hedge Fund,Averity,"New York, NY","$150,000 a year","
Experience with Big Data Concepts (Hadoop, Spark). Are you Quantitative Research Analyst looking to join a Multi-Billion Dollar Hedge Fund?..."
17,Wade & Wendy_Data Scientist/Engineer,Wade & Wendy,"New York, NY","$80,000 - $120,000 a year","
Our Data Scientist will integrate data from web sources, real-time adaptive questioning, and human-intelligence, to develop algorithms that create smart..."
18,Data Scientist,VROOM,"New York, NY","$100,000 - $130,000 a year","
As one of Vroom’s first data scientists you will be instrumental in establishing a data driven culture across the company, in creating data standards and..."
19,Hedge Fund Data Scientist,Selby Jennings,"New York, NY 10167 (Midtown area)","$100,000 - $200,000 a year","
Senior Data Scientist. A hedge fund with over 11 billion in AUM in NYC is looking for an experienced Data Scientist with an impressive educational background..."
20,Quantitative Analyst,Green Key Resources,"New York, NY 10016 (Gramercy area)","$175,000 - $215,000 a year","
Qualifications Masters in Mathematics, Physics or Quantitative Finance 7+ years of relevant experience in Risk, Modelling or related industry Attention to"
21,City Research Scientist,DEPT OF ENVIRONMENT PROTECTION,"New York, NY","$57,969 - $70,142 a year","
The City Research Scientist is responsible for assisting with the Bureau’s environmental regulatory compliance programs...."
22,Senior Data Scientist at High Growth Company,Jobspring Partners,"New York, NY","$140,000 - $170,000 a year","
As a Senior Data Scientist, you would be responsible for guiding junior data scientists as well as collaborating closely with the engineering team to expand on..."
23,Data Scientist at Video Software Company,Averity,"New York, NY","$150,000 a year","
Data visualization skills. Are you a talented Data Scientist that wants a vital role in growing one the best video platforms on the market?..."
24,Senior Data Scientist with Extensive Machine Learning Skills,Averity,"New York, NY","$120,000 - $140,000 a year","
Are you a Senior Data Scientist who is passionate about big data and looking to make a real difference in the word?..."
25,Principal Data Scientist,Averity,"New York, NY","$140,000 - $175,000 a year","
The Principal Data Scientist on our team will join a growing division that is at the center of driving our company's business decisions...."
26,City Research Scientist,City of New York,"New York, NY","$57,969 - $62,000 a year","
City Research Scientist. Experience working with data in community, issue, labor, or political organizing...."
27,Data Scientist Hedge Fund New York,Selby Jennings,"New York, NY 10167 (Midtown area)","$115,000 - $200,000 a year","
Data Scientist/Data Engineer. A well established hedge fund in New York City is looking to bring on a talented data scientist to their data team...."
28,Data Scientist,Talon,"New York, NY","$110,000 - $130,000 a year","
Our client is looking for a highly driven and experienced Data Scientist to join our team in building out the core ranking and recommendation algorithms in our..."
29,Data Analysis Specialist,Green Key Resources,"New York, NY 10016 (Gramercy area)","$175,000 - $215,000 a year","
7+ years of relevant Data Governance experience. Contribute to the overall data governance strategy to ensure the meta data developed and composed supports the..."
30,Senior Research Worker - Endocrinology,Columbia University,"New York, NY","$1,088 a week","
The incumbent is also expected to assist in data collection. In addition, the incumbent will perform the necessary quality controls to monitor the material..."
31,Global Regulatory Research Analyst,Polaris,"New York, NY 10005 (Financial District area)","$50,000 - $65,000 a year","
Analyze and collect data, present and defend findings. Polaris is seeking a Global Regulatory Research Analyst whose focus will be to maintain up-to-date..."
32,"Research Analyst, Bureau of Early Intervention",DEPT OF HEALTH/MENTAL HYGIENE,"New York, NY","$68,239 - $85,644 a year","
Analyze BEI data and data from other large datasets, using query/analytic languages such as SAS to manipulate and clean data from databases, and applying..."
33,Director of Data Science/Chief Product Officer,Workbridge Associates,"New York, NY","$165,000 - $185,000 a year","
Experience with Python, R, Machine Learning with a Data Scientist background. Hands on experience with Big Data Tools(Spark) and latest technologies...."
34,Business Analyst - Supply,VROOM,"New York, NY","$110,000 - $130,000 a year","
Work with our Data Scientists to develop proactive acquisition models and machine learning algorithms to identify supply and demand...."
35,Lead Data Scientist,Empiric Solutions,"New York, NY","$150,000 a year","
You need experience with data modeling, algorithms, statistics, Python, R, and more.As the lead Data Scientists you will play the crucial role of analyzing this..."
36,Lead Data Engineer,ingenium,"New York, NY 10018 (Clinton area)","$200,000 a year","
Lead and manage a team of data engineers and scientists working on firm's data pipeline. Data - Lead Software Engineer...."
